STARTED,STARTED,STARTED
0,[1 1 1 1 1 1],"[0, 0, 0, 0]",2.4972846508026123,improved!
0,[1 1 1 1 1 1],"[0, 0, 0, 0]",2.4972846508026123,0.30265212059020996
STARTED,STARTED,STARTED
0,[1 1 1 1 0 1],"[0, 1, 0, 0]",1.7494497299194336,improved!
1,[1 1 1 1 0 1],"[0, 1, 0, 0]",1.7494497299194336
2,[1 0 1 1 1 1],"[0, 0, 1, 0]",1.7494498491287231,improved!
3,[1 0 1 1 1 1],"[0, 0, 1, 0]",1.7494498491287231
4,[1 0 1 1 1 1],"[0, 0, 1, 0]",1.7494498491287231
5,[1 0 1 1 1 1],"[0, 0, 1, 0]",1.7494498491287231
6,[1 1 1 1 1 1],"[0, 0, 0, 0]",2.4972846508026123,improved!
6,[1 1 1 1 1 1],"[0, 0, 0, 0]",2.4972846508026123,0.44106316566467285
